week,species,n_teams,weight,win_rate,usage
2026-W15,Incineroar,1265,1265.0,0.5830815709969789,0.5504786771105309
2026-W15,Sneasler,966,966.0,0.6093143596377749,0.42036553524804177
2026-W15,Garchomp,860,860.0,0.5778748180494906,0.3742384682332463
2026-W15,Sinistcha,632,632.0,0.6286266924564797,0.2750217580504787
2026-W15,Kingambit,563,563.0,0.631578947368421,0.24499564838990426
2026-W15,Floette-Eternal,516,516.0,0.6177156177156177,0.2245430809399478
2026-W15,Basculegion,506,506.0,0.6271604938271605,0.22019147084421237
2026-W15,Rotom-Wash,416,416.0,0.6057142857142858,0.18102697998259357
2026-W15,Whimsicott,407,407.0,0.5529801324503312,0.17711053089643167
2026-W15,Aerodactyl,328,328.0,0.6692307692307692,0.14273281114012185
2026-W15,Tyranitar,327,327.0,0.6245210727969349,0.1422976501305483
2026-W15,Pelipper,308,308.0,0.6487603305785123,0.134029590948651
2026-W15,Farigiraf,301,301.0,0.625,0.1309834638816362
2026-W15,Charizard,300,300.0,0.5,0.13054830287206268
2026-W15,Gengar,296,296.0,0.5907172995780591,0.1288076588337685
2026-W15,Venusaur,237,237.0,0.48255813953488375,0.1031331592689295
2026-W15,Archaludon,229,229.0,0.6179775280898876,0.09965187119234116
2026-W15,Talonflame,218,218.0,0.6243386243386243,0.09486510008703221
2026-W15,Froslass,204,204.0,0.5914634146341463,0.08877284595300261
2026-W15,Dragonite,203,203.0,0.6415094339622641,0.08833768494342907
2026-W15,Delphox,168,168.0,0.5725806451612904,0.0731070496083551
2026-W15,Gardevoir,166,166.0,0.5514705882352942,0.072236727589208
2026-W15,Kommo-o,164,164.0,0.6793893129770993,0.07136640557006092
2026-W15,Excadrill,161,161.0,0.591304347826087,0.07006092254134029
2026-W15,Aegislash,153,153.0,0.5581395348837209,0.06657963446475196
2026-W15,Milotic,146,146.0,0.5277777777777778,0.06353350739773717
2026-W15,Corviknight,145,145.0,0.5727272727272728,0.06309834638816363
2026-W15,Maushold,126,126.0,0.51,0.05483028720626632
2026-W15,Palafin,126,126.0,0.6304347826086957,0.05483028720626632
2026-W15,Primarina,124,124.0,0.59,0.053959965187119235
2026-W15,Torkoal,123,123.0,0.532608695652174,0.05352480417754569
2026-W15,Clefable,116,116.0,0.5824175824175825,0.050478677110530897
2026-W15,Glimmora,114,114.0,0.7209302325581395,0.04960835509138381
2026-W15,Ninetales-Alola,109,109.0,0.575,0.047432550043516104
2026-W15,Sinistcha-Masterpiece,104,104.0,0.5185185185185185,0.04525674499564839
2026-W15,Maushold-Four,97,97.0,0.6133333333333333,0.04221061792863359
2026-W15,Orthworm,94,94.0,0.5230769230769231,0.040905134899912966
2026-W15,Arcanine-Hisui,91,91.0,0.5909090909090909,0.03959965187119234
2026-W15,Kangaskhan,89,89.0,0.5694444444444444,0.038729329852045254
2026-W15,Politoed,86,86.0,0.5942028985507246,0.03742384682332463
2026-W15,Starmie,85,85.0,0.6666666666666666,0.03698868581375109
2026-W15,Meganium,80,80.0,0.6170212765957447,0.034812880765883375
2026-W15,Dragapult,77,77.0,0.6129032258064516,0.03350739773716275
2026-W15,Rotom-Heat,77,77.0,0.6129032258064516,0.03350739773716275
