query_index,neighbor_rank,neighbor_index,distance,query_team_hash,neighbor_team_hash,query_species,neighbor_species,neighbor_occurrence_count
0,1,46,0.3212539553642273,dca36b3fe686f36e,352e64de1fd517ea,Golurk | Torkoal | Farigiraf | Lucario | Aromatisse | Kangaskhan,Audino | Flapple | Liepard | Conkeldurr | Aurorus | Kangaskhan,1
0,2,33,0.4032517075538635,dca36b3fe686f36e,47911ee82d65f50a,Golurk | Torkoal | Farigiraf | Lucario | Aromatisse | Kangaskhan,Garganacl | Archaludon | Hippowdon | Gardevoir | Farigiraf | Sableye,1
0,3,40,0.4754011034965515,dca36b3fe686f36e,17179e9bb791e30b,Golurk | Torkoal | Farigiraf | Lucario | Aromatisse | Kangaskhan,Golurk | Delphox | Bellibolt | Appletun | Froslass | Passimian,1
0,4,55,0.4878043532371521,dca36b3fe686f36e,bba266c9203da3cf,Golurk | Torkoal | Farigiraf | Lucario | Aromatisse | Kangaskhan,Torkoal | Incineroar | Oranguru | Gardevoir | Farigiraf | Sinistcha,1
0,5,69,0.5177582502365112,dca36b3fe686f36e,8bd96d5ac9738765,Golurk | Torkoal | Farigiraf | Lucario | Aromatisse | Kangaskhan,Sylveon | Aerodactyl | Camerupt | Kommo-o | Oranguru | Sableye,1
1,1,50,0.2744343876838684,9d75ac2a4adf2436,92786912a032174b,Aerodactyl | Charizard | Floette-Eternal | Hydreigon | Garchomp | Rotom-Wash,Charizard | Whimsicott | Garchomp | Glimmora | Basculegion | Sneasler,1
1,2,83,0.33693522214889526,9d75ac2a4adf2436,fadd3b7811f330f1,Aerodactyl | Charizard | Floette-Eternal | Hydreigon | Garchomp | Rotom-Wash,Charizard | Glimmora | Whimsicott | Weavile | Garchomp | Basculegion,1
1,3,39,0.3536961078643799,9d75ac2a4adf2436,fce52b299c35e3fd,Aerodactyl | Charizard | Floette-Eternal | Hydreigon | Garchomp | Rotom-Wash,Charizard | Glimmora | Whimsicott | Weavile | Garchomp | Basculegion,1
1,4,60,0.37341994047164917,9d75ac2a4adf2436,198c25a6899ba315,Aerodactyl | Charizard | Floette-Eternal | Hydreigon | Garchomp | Rotom-Wash,Charizard | Whimsicott | Garchomp | Incineroar | Sneasler | Torkoal,2
1,5,48,0.37962543964385986,9d75ac2a4adf2436,955e89a0ec5dc754,Aerodactyl | Charizard | Floette-Eternal | Hydreigon | Garchomp | Rotom-Wash,Charizard | Whimsicott | Garchomp | Kingambit | Kangaskhan | Basculegion,2
2,1,39,0.09189701080322266,7478a4ee98b254ca,fce52b299c35e3fd,Sneasler | Garchomp | Basculegion | Glimmora | Charizard | Whimsicott,Charizard | Glimmora | Whimsicott | Weavile | Garchomp | Basculegion,1
